audio_recording_id,start_offset,end_offset,site_id,Powerful owl,Barking owl,Southern boobook,Eastern barn owl,Masked owl,Other birds,Koala,Possum,Insects,Frogs,Car,Nothing,Wind / rain,Something else
9,2512,2522,253,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
9,3034,3044,253,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
9,40,50,253,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
24,46,56,253,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
27,4504,4514,253,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
28,1623,1633,253,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
28,1428,1438,253,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
28,441,451,253,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
28,3526,3536,253,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
28,1368,1378,253,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
28,3526,3536,253,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
28,1368,1378,253,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES
28,3526,3536,253,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
28,1368,1378,253,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
28,3526,3536,253,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
28,1368,1378,253,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
28,3526,3536,253,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
28,1368,1378,253,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
28,3526,3536,253,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
28,1368,1378,253,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
28,498,508,253,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
28,1638,1648,253,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
28,498,508,253,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES
28,1638,1648,253,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
28,498,508,253,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
28,1638,1648,253,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
28,498,508,253,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
28,1638,1648,253,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO
28,498,508,253,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES
28,1638,1648,253,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
