point_id,Powerful.owl,Barking.owl,Southern.boobook,Eastern.barn.owl,Masked.owl,custom_latitude,custom_longitude
50,YES,NO,YES,YES,NO,-24.24875,151.92559
50,YES,NO,NO,NO,NO,-24.24875,151.92559
50,YES,NO,NO,NO,NO,-24.24875,151.92559
50,YES,NO,NO,NO,NO,-24.24875,151.92559
50,YES,NO,NO,NO,NO,-24.24875,151.92559
50,YES,NO,NO,NO,NO,-24.24875,151.92559
50,YES,NO,NO,NO,NO,-24.24875,151.92559
50,YES,NO,NO,NO,NO,-24.24875,151.92559
50,YES,NO,NO,NO,NO,-24.24875,151.92559
50,YES,NO,NO,NO,NO,-24.24875,151.92559
50,YES,NO,NO,NO,NO,-24.24875,151.92559
51,YES,NO,NO,NO,NO,-24.22063,151.91521
51,YES,NO,NO,NO,NO,-24.22063,151.91521
51,YES,NO,NO,NO,NO,-24.22063,151.91521
51,YES,NO,NO,NO,NO,-24.22063,151.91521
51,YES,YES,NO,NO,NO,-24.22063,151.91521
51,YES,NO,NO,NO,NO,-24.22063,151.91521
51,YES,NO,NO,NO,NO,-24.22063,151.91521
57,YES,YES,NO,YES,NO,-35.37029,147.69592
57,YES,NO,NO,NO,NO,-35.37029,147.69592
57,YES,NO,NO,NO,NO,-35.37029,147.69592
57,YES,NO,NO,NO,NO,-35.37029,147.69592
57,YES,NO,NO,NO,NO,-35.37029,147.69592
57,YES,NO,YES,YES,NO,-35.37029,147.69592
57,YES,NO,NO,NO,NO,-35.37029,147.69592
57,YES,NO,NO,NO,NO,-35.37029,147.69592
57,YES,NO,NO,NO,NO,-35.37029,147.69592
57,YES,NO,NO,YES,NO,-35.37029,147.69592
57,YES,NO,NO,NO,NO,-35.37029,147.69592
57,YES,NO,NO,NO,NO,-35.37029,147.69592
57,YES,NO,NO,NO,NO,-35.37029,147.69592
57,YES,YES,YES,YES,NO,-35.37029,147.69592
57,YES,NO,NO,NO,NO,-35.37029,147.69592
57,YES,NO,NO,NO,NO,-35.37029,147.69592
57,YES,NO,NO,NO,NO,-35.37029,147.69592
