"lat","lon","baow_calls","n"
-36.45681,141.67293,"YES",4
-36.4564,141.66963,"YES",14
-36.45428,141.66566,"YES",42
-36.45367,141.6759,"YES",8
-35.37861,147.70451,"YES",6
-35.37029,147.69592,"YES",5
-35.36651,147.70689,"YES",1
-35.35904,147.69889,"YES",11
-32.49134,116.93642,"YES",22
-32.4855,116.94571,"YES",17
-32.48163,116.92573,"YES",29
-32.4816,116.93472,"YES",46
-30.09164,151.77331,"YES",136
-30.09105,151.78556,"YES",14
-30.08033,151.77536,"YES",23
-30.05543,151.86668,"YES",14
-29.61057,116.96871,"YES",1
-29.60537,116.96847,"YES",7
-29.50752,117.05431,"YES",3
-27.39215,152.87546,"YES",130
-27.38869,152.87145,"YES",23
-27.38736,152.88025,"YES",38
-27.38566,152.87758,"YES",36
-24.24875,151.92559,"YES",54
-24.22063,151.91521,"YES",19
-22.72447,131.36579,"YES",1
-22.71868,131.37147,"YES",2
-22.71134,131.31954,"YES",5
-22.69741,131.3433,"YES",6
-29.51186,117.04237,"NO",0
-42.0125,146.36086,"NO",0
-42.00963,146.35603,"NO",0
-42.00832,146.36435,"NO",0
-42.00754,146.36089,"NO",0
-31.76664,138.48828,"NO",0
-31.75475,138.4898,"NO",0
-31.74642,138.48752,"NO",0
