"","ID","lat","lon","c_lat","c_lon","u_ebow","pres"
"1",25,-29.60537,116.96847,2,2,"YES",1
"2",26,-29.61057,116.96871,2,2,"YES",1
"3",27,-29.50752,117.05431,2,2,"YES",1
"4",41,-30.05543,151.86668,2,2,"YES",1
"5",42,-30.09105,151.78556,2,2,"YES",1
"6",43,-30.09164,151.77331,2,2,"YES",1
"7",44,-30.08033,151.77536,2,2,"YES",1
"8",50,-24.24875,151.92559,2,2,"YES",1
"9",51,-24.22063,151.91521,2,2,"YES",1
"10",57,-35.37029,147.69592,2,2,"YES",1
"11",58,-35.35904,147.69889,2,2,"YES",1
"12",59,-35.37861,147.70451,2,2,"YES",1
"13",60,-35.36651,147.70689,2,2,"YES",1
"14",217,-32.4816,116.93472,3,3,"YES",1
"15",218,-32.4855,116.94571,2,2,"YES",1
"16",219,-32.49134,116.93642,2,2,"YES",1
"17",220,-32.48163,116.92573,2,2,"YES",1
"18",253,-27.38736,152.88025,2,2,"YES",1
"19",254,-27.38566,152.87758,2,2,"YES",1
"20",255,-27.39215,152.87546,2,2,"YES",1
"21",256,-27.38869,152.87145,2,2,"YES",1
"22",277,-42.0125,146.36086,2,2,"YES",1
"23",278,-42.00963,146.35603,2,2,"YES",1
"24",280,-42.00754,146.36089,2,2,"YES",1
"25",285,-31.76664,138.48828,2,2,"YES",1
"26",287,-31.75475,138.4898,2,2,"YES",1
"27",288,-31.74642,138.48752,2,2,"YES",1
"28",289,-22.71134,131.31954,2,2,"YES",1
"29",290,-22.69741,131.3433,2,2,"YES",1
"30",291,-22.71868,131.37147,2,2,"YES",1
"31",292,-22.72447,131.36579,2,2,"YES",1
"32",293,-36.45367,141.6759,2,2,"YES",1
"33",294,-36.45681,141.67293,2,2,"YES",1
"34",295,-36.45428,141.66566,2,2,"YES",1
"35",296,-36.4564,141.66963,2,2,"YES",1
