"","ID","lat","lon","c_lat","c_lon","u_maow","pres"
"1",25,-29.60537,116.96847,2,2,"YES",1
"2",26,-29.61057,116.96871,2,2,"YES",1
"3",27,-29.50752,117.05431,2,2,"YES",1
"4",41,-30.05543,151.86668,2,2,"YES",1
"5",42,-30.09105,151.78556,2,2,"YES",1
"6",43,-30.09164,151.77331,2,2,"YES",1
"7",44,-30.08033,151.77536,2,2,"YES",1
"8",50,-24.24875,151.92559,2,2,"YES",1
"9",51,-24.22063,151.91521,2,2,"YES",1
"10",217,-32.4816,116.93472,3,3,"YES",1
"11",218,-32.4855,116.94571,2,2,"YES",1
"12",219,-32.49134,116.93642,2,2,"YES",1
"13",220,-32.48163,116.92573,2,2,"YES",1
"14",253,-27.38736,152.88025,2,2,"YES",1
"15",254,-27.38566,152.87758,2,2,"YES",1
"16",255,-27.39215,152.87546,2,2,"YES",1
"17",256,-27.38869,152.87145,2,2,"YES",1
"18",277,-42.0125,146.36086,2,2,"YES",1
"19",278,-42.00963,146.35603,2,2,"YES",1
"20",280,-42.00754,146.36089,2,2,"YES",1
