"","ID","lat","lon","c_lat","c_lon","u_powl","pres"
"1",25,-29.60537,116.96847,1,1,"NO",0
"2",26,-29.61057,116.96871,1,1,"NO",0
"3",27,-29.50752,117.05431,1,1,"NO",0
"4",28,-29.51186,117.04237,1,1,"NO",0
"5",41,-30.05543,151.86668,1,1,"NO",0
"6",42,-30.09105,151.78556,1,1,"NO",0
"7",43,-30.09164,151.77331,1,1,"NO",0
"8",44,-30.08033,151.77536,1,1,"NO",0
"9",218,-32.4855,116.94571,1,1,"NO",0
"10",219,-32.49134,116.93642,1,1,"NO",0
"11",220,-32.48163,116.92573,1,1,"NO",0
"12",277,-42.0125,146.36086,1,1,"NO",0
"13",278,-42.00963,146.35603,1,1,"NO",0
"14",279,-42.00832,146.36435,1,1,"NO",0
"15",280,-42.00754,146.36089,1,1,"NO",0
"16",285,-31.76664,138.48828,1,1,"NO",0
"17",287,-31.75475,138.4898,1,1,"NO",0
"18",288,-31.74642,138.48752,1,1,"NO",0
"19",289,-22.71134,131.31954,1,1,"NO",0
"20",290,-22.69741,131.3433,1,1,"NO",0
"21",291,-22.71868,131.37147,1,1,"NO",0
"22",292,-22.72447,131.36579,1,1,"NO",0
"23",293,-36.45367,141.6759,1,1,"NO",0
"24",294,-36.45681,141.67293,1,1,"NO",0
"25",295,-36.45428,141.66566,1,1,"NO",0
"26",296,-36.4564,141.66963,1,1,"NO",0
