"pres","coords.x1","coords.x2","powl_calls","n"
1,151.92559,-24.24875,"YES",11
1,151.91521,-24.22063,"YES",7
1,147.69592,-35.37029,"YES",17
1,147.69889,-35.35904,"YES",14
1,147.70451,-35.37861,"YES",10
1,147.70689,-35.36651,"YES",4
1,152.88025,-27.38736,"YES",13
1,152.87758,-27.38566,"YES",16
1,152.87546,-27.39215,"YES",42
1,152.87145,-27.38869,"YES",3
0,151.86668,-30.05543,"NO",0
0,151.78556,-30.09105,"NO",0
0,151.77331,-30.09164,"NO",0
0,151.77536,-30.08033,"NO",0
0,141.6759,-36.45367,"NO",0
0,141.67293,-36.45681,"NO",0
0,141.66566,-36.45428,"NO",0
0,141.66963,-36.4564,"NO",0
