"pres","coords.x1","coords.x2"
1,151.92559,-24.24875
1,151.91521,-24.22063
1,147.69592,-35.37029
1,147.69889,-35.35904
1,147.70451,-35.37861
1,147.70689,-35.36651
1,152.88025,-27.38736
1,152.87758,-27.38566
1,152.87546,-27.39215
1,152.87145,-27.38869
0,116.96847,-29.60537
0,116.96871,-29.61057
0,117.05431,-29.50752
0,117.04237,-29.51186
0,151.86668,-30.05543
0,151.78556,-30.09105
0,151.77331,-30.09164
0,151.77536,-30.08033
0,116.94571,-32.4855
0,116.93642,-32.49134
0,116.92573,-32.48163
0,146.36086,-42.0125
0,146.35603,-42.00963
0,146.36435,-42.00832
0,146.36089,-42.00754
0,138.48828,-31.76664
0,138.4898,-31.75475
0,138.48752,-31.74642
0,131.31954,-22.71134
0,131.3433,-22.69741
0,131.37147,-22.71868
0,131.36579,-22.72447
0,141.6759,-36.45367
0,141.67293,-36.45681
0,141.66566,-36.45428
0,141.66963,-36.4564
